time,pulse,breath,gsr,datetime
"set(['p: 2689.00', 't: 1194779', 'g: 4095.00', '2018-10-31_16:35:56.925000', 'b: 1440.00'])"
"set(['b: 1431.00', 't: 1194799', '2018-10-31_16:35:56.971000', 'g: 4095.00', 'p: 2690.00'])"
"set(['p: 2694.00', 'b: 1436.00', 't: 1194819', '2018-10-31_16:35:57.015000', 'g: 4095.00'])"
"set(['g: 4095.00', '2018-10-31_16:35:57.061000', 't: 1194839', 'p: 2704.00', 'b: 1446.00'])"
"set(['t: 1194859', '2018-10-31_16:35:57.096000', 'b: 1437.00', 'g: 4095.00', 'p: 2687.00'])"
"set(['g: 4095.00', 'p: 2687.00', 'b: 1435.00', '2018-10-31_16:35:57.131000', 't: 1194879'])"
"set(['g: 4095.00', 'b: 1439.00', '2018-10-31_16:35:57.170000', 't: 1194899', 'p: 2687.00'])"
"set(['t: 1194919', 'b: 1437.00', '2018-10-31_16:35:57.218000', 'g: 4095.00', 'p: 2687.00'])"
"set(['t: 1194939', '2018-10-31_16:35:57.271000', 'g: 4095.00', 'b: 1438.00', 'p: 2687.00'])"
"set(['b: 1431.00', '2018-10-31_16:35:57.320000', 't: 1194959', 'g: 4095.00', 'p: 2690.00'])"
"set(['g: 4095.00', '2018-10-31_16:35:57.396000', 'b: 1438.00', 't: 1194979', 'p: 2687.00'])"
"set(['t: 1194999', 'b: 1440.00', '2018-10-31_16:35:57.435000', 'g: 4095.00', 'p: 2687.00'])"
"set(['t: 1195019', '2018-10-31_16:35:57.489000', 'g: 4095.00', 'b: 1441.00', 'p: 2687.00'])"
"set(['t: 1195039', '2018-10-31_16:35:57.536000', 'p: 2694.00', 'g: 4095.00', 'b: 1441.00'])"
"set(['b: 1440.00', '2018-10-31_16:35:57.582000', 'g: 4095.00', 't: 1195059', 'p: 2687.00'])"
"set(['g: 4095.00', '2018-10-31_16:35:57.630000', 't: 1195079', 'b: 1444.00', 'p: 2687.00'])"
"set(['b: 1443.00', 't: 1195099', '2018-10-31_16:35:57.669000', 'g: 4095.00', 'p: 2687.00'])"
"set(['2018-10-31_16:35:57.715000', 'p: 2687.00', 'b: 1446.00', 'g: 4095.00', 't: 1195119'])"
"set(['g: 4095.00', 't: 1195139', '2018-10-31_16:35:57.764000', 'b: 1444.00', 'p: 2687.00'])"
"set(['t: 1195159', 'b: 1447.00', 'g: 4095.00', '2018-10-31_16:35:57.815000', 'p: 2687.00'])"
"set(['g: 4095.00', 'b: 1456.00', 't: 1195179', '2018-10-31_16:35:57.868000', 'p: 2687.00'])"
"set(['p: 2687.00', '2018-10-31_16:35:57.919000', 'g: 4095.00', 'b: 1430.00', 't: 1195199'])"
"set(['b: 1459.00', 't: 1195219', 'g: 4095.00', 'p: 2701.00', '2018-10-31_16:35:57.971000'])"
"set(['2018-10-31_16:35:58.026000', 'b: 1456.00', 'g: 4095.00', 't: 1195239', 'p: 2687.00'])"
"set(['t: 1195259', 'b: 1465.00', '2018-10-31_16:35:58.078000', 'p: 2691.00', 'g: 4095.00'])"
"set(['p: 2689.00', 't: 1195279', 'b: 1479.00', '2018-10-31_16:35:58.130000', 'g: 4095.00'])"
